运输方式,路线,价格,环比,日期,价格数值
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/3/6,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/2/28,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/2/21,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/2/14,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/2/7,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/1/31,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/1/24,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/1/17,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/1/10,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2024/1/3,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/12/27,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/12/20,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/12/13,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/12/6,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/11/29,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/11/15,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/11/8,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/11/1,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/10/25,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/10/18,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/10/11,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/10/4,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/9/27,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/9/20,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/9/13,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/9/6,2887.0
整车运输-13,上海-南京,2887元/整车,-0.69%,2023/8/30,2887.0
